POD	eigenval	sigma	acc_eigenval	part_E	acc_part_E
319	4.684168e-12	2.167898e-06	6.715e+05	6.975e-18	1.000000
320	4.682118e-12	2.164957e-06	6.715e+05	6.972e-18	1.000000
321	4.682118e-12	2.164957e-06	6.715e+05	6.972e-18	1.000000
322	4.676255e-12	2.163813e-06	6.715e+05	6.964e-18	1.000000
323	4.676255e-12	2.163813e-06	6.715e+05	6.964e-18	1.000000
324	4.674522e-12	2.162093e-06	6.715e+05	6.961e-18	1.000000
325	4.674522e-12	2.162093e-06	6.715e+05	6.961e-18	1.000000
326	4.662681e-12	2.161937e-06	6.715e+05	6.943e-18	1.000000
327	4.662681e-12	2.161937e-06	6.715e+05	6.943e-18	1.000000
328	4.660968e-12	2.159112e-06	6.715e+05	6.941e-18	1.000000
329	4.660968e-12	2.159112e-06	6.715e+05	6.941e-18	1.000000
330	4.655257e-12	2.158332e-06	6.715e+05	6.932e-18	1.000000
331	4.655257e-12	2.158332e-06	6.715e+05	6.932e-18	1.000000
332	4.652133e-12	2.157374e-06	6.715e+05	6.928e-18	1.000000
333	4.652133e-12	2.157374e-06	6.715e+05	6.928e-18	1.000000
334	4.646121e-12	2.160101e-06	6.715e+05	6.919e-18	1.000000
335	4.646121e-12	2.160101e-06	6.715e+05	6.919e-18	1.000000
336	4.642726e-12	2.155861e-06	6.715e+05	6.914e-18	1.000000
337	4.642726e-12	2.155861e-06	6.715e+05	6.914e-18	1.000000
338	4.639004e-12	2.156215e-06	6.715e+05	6.908e-18	1.000000
339	4.639004e-12	2.156215e-06	6.715e+05	6.908e-18	1.000000
340	4.638169e-12	2.156839e-06	6.715e+05	6.907e-18	1.000000
341	4.638169e-12	2.156839e-06	6.715e+05	6.907e-18	1.000000
342	4.630007e-12	2.151879e-06	6.715e+05	6.895e-18	1.000000
343	4.630007e-12	2.151879e-06	6.715e+05	6.895e-18	1.000000
344	4.628399e-12	2.151786e-06	6.715e+05	6.892e-18	1.000000
345	4.628399e-12	2.151786e-06	6.715e+05	6.892e-18	1.000000
346	4.628295e-12	2.151914e-06	6.715e+05	6.892e-18	1.000000
347	4.628295e-12	2.151914e-06	6.715e+05	6.892e-18	1.000000
348	4.625445e-12	2.152606e-06	6.715e+05	6.888e-18	1.000000
349	4.625445e-12	2.152606e-06	6.715e+05	6.888e-18	1.000000
350	4.621667e-12	2.151389e-06	6.715e+05	6.882e-18	1.000000
351	4.621667e-12	2.151389e-06	6.715e+05	6.882e-18	1.000000
352	4.618340e-12	2.149045e-06	6.715e+05	6.877e-18	1.000000
353	4.618340e-12	2.149045e-06	6.715e+05	6.877e-18	1.000000
354	4.617780e-12	2.149868e-06	6.715e+05	6.877e-18	1.000000
355	4.617780e-12	2.149868e-06	6.715e+05	6.877e-18	1.000000
356	4.611868e-12	2.147746e-06	6.715e+05	6.868e-18	1.000000
357	4.611868e-12	2.147746e-06	6.715e+05	6.868e-18	1.000000
358	4.609535e-12	2.147056e-06	6.715e+05	6.864e-18	1.000000
359	4.609535e-12	2.147056e-06	6.715e+05	6.864e-18	1.000000
360	4.607875e-12	2.150315e-06	6.715e+05	6.862e-18	1.000000
361	4.607875e-12	2.150315e-06	6.715e+05	6.862e-18	1.000000
362	4.607603e-12	2.146575e-06	6.715e+05	6.861e-18	1.000000
363	4.607603e-12	2.146575e-06	6.715e+05	6.861e-18	1.000000
364	4.598407e-12	2.144784e-06	6.715e+05	6.848e-18	1.000000
365	4.598407e-12	2.144784e-06	6.715e+05	6.848e-18	1.000000
366	4.596018e-12	2.146005e-06	6.715e+05	6.844e-18	1.000000
367	4.596018e-12	2.146005e-06	6.715e+05	6.844e-18	1.000000
368	4.594272e-12	2.146395e-06	6.715e+05	6.842e-18	1.000000
369	4.594272e-12	2.146395e-06	6.715e+05	6.842e-18	1.000000
370	4.577191e-12	2.141101e-06	6.715e+05	6.816e-18	1.000000
371	4.577191e-12	2.141101e-06	6.715e+05	6.816e-18	1.000000
372	4.575957e-12	2.142522e-06	6.715e+05	6.814e-18	1.000000
